Performance Statistics   2015-10-19 13:32:00 - 2015-10-19 13:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Storage.view@operationsDs                         19,0          19          19         0,0           1
delta$Storage.view@storageCategoriesStatesDs            11,0          10          12         1,0           2
windowActions#xml                                        2,0           2           2         0,0           1

Performance Statistics   2015-10-19 14:20:00 - 2015-10-19 14:22:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2015-10-19 14:22:00 - 2015-10-19 14:24:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   24,0          24          24         0,0           1
delta$MainScreen#inject                                  3,0           3           3         0,0           1
delta$MainScreen#loadDescriptor                        617,0         617         617         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                    10,0          10          10         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           93,0          93          93         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                            168,0         168         168         0,0           1
delta$Operation.edit#inject                              0,0           0           0         0,0           3
delta$Operation.edit#loadDescriptor                    169,7          13         478       218,0           3
delta$Operation.edit#xml                                 3,3           3           4         0,5           3
delta$Operation.edit.windowActions#loadDescriptor         2,7           2           3         0,5           3
delta$Storage.view#init                                  9,0           9           9         0,0           1
delta$Storage.view#inject                                1,0           1           1         0,0           1
delta$Storage.view#loadDescriptor                       51,0          51          51         0,0           1
delta$Storage.view#ready                                 0,0           0           0         0,0           1
delta$Storage.view#setItem                              68,0          68          68         0,0           1
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           1
delta$Storage.view#xml                                   4,0           4           4         0,0           1
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor          5,0           5           5         0,0           1
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           1
delta$Storage.view@operationsDs                         90,0          90          90         0,0           1
delta$Storage.view@storageCategoriesStatesDs            33,0          33          33         0,0           1
mainWindow#init                                         36,0          36          36         0,0           1
mainWindow#inject                                        6,0           6           6         0,0           1
mainWindow#loadDescriptor                              589,0         589         589         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         296,0         296         296         0,0           1
windowActions#xml                                       13,2           1          60        23,4           5

Performance Statistics   2015-10-19 14:24:00 - 2015-10-19 14:26:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Operation.edit#inject                              0,0           0           0         0,0           1
delta$Operation.edit#loadDescriptor                     16,0          16          16         0,0           1
delta$Operation.edit#xml                                 5,0           5           5         0,0           1
delta$Operation.edit.windowActions#loadDescriptor         2,0           2           2         0,0           1
windowActions#xml                                        1,0           1           1         0,0           1

Performance Statistics   2015-10-19 14:26:00 - 2015-10-19 14:28:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$MainScreen#init                                   27,0          27          27         0,0           1
delta$MainScreen#inject                                  3,0           3           3         0,0           1
delta$MainScreen#loadDescriptor                        433,0         433         433         0,0           1
delta$MainScreen#ready                                   0,0           0           0         0,0           1
delta$MainScreen#uiPermissions                           0,0           0           0         0,0           1
delta$MainScreen#xml                                    11,0          11          11         0,0           1
delta$MainScreen.windowActions#init                      0,0           0           0         0,0           1
delta$MainScreen.windowActions#inject                    0,0           0           0         0,0           1
delta$MainScreen.windowActions#loadDescriptor           16,0          16          16         0,0           1
delta$MainScreen.windowActions#uiPermissions             0,0           0           0         0,0           1
delta$MainScreen@storagesDs                            442,0         442         442         0,0           1
delta$Operation.edit#init                                0,0           0           0         0,0           2
delta$Operation.edit#inject                              0,0           0           0         0,0           2
delta$Operation.edit#loadDescriptor                    862,0         428        1296       434,0           2
delta$Operation.edit#ready                               0,0           0           0         0,0           2
delta$Operation.edit#setItem                            75,5          75          76         0,5           2
delta$Operation.edit#uiPermissions                       0,0           0           0         0,0           2
delta$Operation.edit#xml                                 3,5           3           4         0,5           2
delta$Operation.edit.windowActions#loadDescriptor         3,0           3           3         0,0           2
delta$Operation.edit@categoriesDs                       27,0          21          33         6,0           2
delta$Operation.edit@storagesDs                         26,0          26          26         0,0           1
delta$Storage.view#init                                 28,0          28          28         0,0           1
delta$Storage.view#inject                                2,0           2           2         0,0           1
delta$Storage.view#loadDescriptor                      176,0         176         176         0,0           1
delta$Storage.view#ready                                 0,0           0           0         0,0           1
delta$Storage.view#setItem                              79,0          79          79         0,0           1
delta$Storage.view#uiPermissions                         0,0           0           0         0,0           1
delta$Storage.view#xml                                   6,0           6           6         0,0           1
delta$Storage.view.windowActions#init                    0,0           0           0         0,0           1
delta$Storage.view.windowActions#inject                  0,0           0           0         0,0           1
delta$Storage.view.windowActions#loadDescriptor        105,0         105         105         0,0           1
delta$Storage.view.windowActions#uiPermissions           0,0           0           0         0,0           1
delta$Storage.view@operationsDs                         90,0          90          90         0,0           1
delta$Storage.view@storageCategoriesStatesDs            38,0          27          49        11,0           2
mainWindow#init                                         42,0          42          42         0,0           1
mainWindow#inject                                        7,0           7           7         0,0           1
mainWindow#loadDescriptor                              536,0         536         536         0,0           1
mainWindow#ready                                         0,0           0           0         0,0           1
mainWindow#uiPermissions                                 0,0           0           0         0,0           1
mainWindow#xml                                         235,0         235         235         0,0           1
windowActions#xml                                       26,5           1         101        43,0           4

Performance Statistics   2015-10-19 14:28:00 - 2015-10-19 14:30:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
delta$Storage.view@storageCategoriesStatesDs            22,0          22          22         0,0           1

Performance Statistics   2015-10-19 14:30:00 - 2015-10-19 14:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

